City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,anton,40,PA,1603303162,74,8.4,-80.27,29,3.6
314,sao filipe,0,CV,1603302897,62,14.9,-24.5,29.13,1.18
315,dire,83,ML,1603303162,56,12.28,-10.97,28.95,0.82
316,kununurra,26,AU,1603303163,94,-15.77,128.73,26,2.1
317,hirosaki,100,JP,1603303163,63,40.59,140.47,13.33,1.34
318,nanortalik,100,GL,1603303163,87,60.14,-45.24,1.04,5.38
319,tamala,100,RU,1603303164,76,52.54,43.25,3.09,2.41
321,sitka,1,US,1603303164,50,57.05,-135.33,1,2.1
323,necochea,0,AR,1603303165,51,-38.55,-58.74,14.46,8.53
324,ledyard,90,US,1603303165,93,41.44,-72.01,22.22,2.6
325,portland,75,US,1603303107,81,45.52,-122.68,12.22,2.73
326,chifeng,7,CN,1603303166,69,42.27,118.96,1.15,2.71
328,naryan-mar,37,RU,1603303167,98,67.67,53.09,-3.72,3.17
329,belaya gora,73,RU,1603303167,93,68.53,146.42,-15.2,1.49
330,anadyr,46,RU,1603303168,86,64.75,177.48,3,6
331,gambo,88,CF,1603303168,93,4.65,22.26,21.66,0.26
332,sulgen,70,CH,1603303168,90,47.54,9.19,13.33,1.67
333,lichuan,1,CN,1603303169,76,30.3,108.85,6.59,0.71
334,faya,0,SA,1603303169,15,18.39,42.45,21,4.1
335,binga,0,ZW,1603303169,29,-17.62,27.34,29.13,1.7
336,buraydah,0,SA,1603303170,23,26.33,43.98,25,2.1
337,kutum,0,SD,1603303170,15,14.2,24.67,26.91,5.18
338,wanning,100,CN,1603303171,81,18.8,110.4,21.15,6.06
339,tukrah,71,LY,1603303171,44,32.53,20.58,20.71,2.61
340,muravlenko,93,RU,1603303171,98,63.79,74.52,-5.62,2.74
341,taltal,27,CL,1603303172,61,-25.4,-70.48,17.48,4.11
343,kiunga,99,PG,1603303172,98,-6.12,141.29,22.65,0.44
344,vila franca do campo,75,PT,1603303096,72,37.72,-25.43,17,6.2
345,bibiani,76,GH,1603303173,70,6.46,-2.32,26.02,0.68
346,lagos,40,NG,1603302481,74,6.58,3.75,29,4.1
347,korcula,71,HR,1603303174,71,42.96,17.14,13,2.6
348,praya,0,CV,1603303174,65,14.92,-23.51,28.51,5.83
349,xuanzhou,73,CN,1603303175,79,30.95,118.76,12.23,1.5
350,kavaratti,99,IN,1603302891,77,10.57,72.64,27.27,6.17
351,manyana,54,BW,1603303175,14,-23.4,21.72,29.42,5.33
352,mananjary,17,MG,1603303176,75,-21.22,48.33,21.47,2.11
353,biak,48,ID,1603303176,73,-0.91,122.88,24.55,2.21
354,teya,100,RU,1603303177,86,60.38,92.63,3.94,4
355,kem,7,RU,1603303177,97,64.96,34.58,-1.27,1.91
356,along,2,IN,1603303177,87,28.17,94.77,18.21,1.03
357,tupelo,1,US,1603302982,61,34.26,-88.7,27,3.1
358,nagorsk,94,RU,1603303178,96,59.32,50.81,-2.68,2.83
359,eenhana,30,NA,1603303011,9,-17.47,16.33,37,2.1
360,college,90,US,1603302880,85,64.86,-147.8,-5,0.5
361,vilcun,3,CL,1603303179,59,-38.65,-72.23,16,3.6
362,clifton,90,US,1603303179,82,40.86,-74.16,21,4.1
363,quelimane,0,MZ,1603302955,84,-17.88,36.89,25.03,4.42
364,saint-francois,73,FR,1603303180,52,46.42,3.91,20,6.7
365,ambon,96,ID,1603303180,15,-3.7,128.18,25.56,2.78
367,emerald,1,AU,1603303181,83,-23.53,148.17,21,4.6
368,strezhevoy,75,RU,1603303015,92,60.73,77.59,0,1.17
369,cidreira,65,BR,1603303182,85,-30.18,-50.21,20.31,6.53
370,praia da vitoria,75,PT,1603303182,68,38.73,-27.07,18,9.48
371,aklavik,75,CA,1603303183,92,68.22,-135.01,-11,2.1
372,trincomalee,22,LK,1603303183,77,8.57,81.23,27.4,7.8
373,mahebourg,40,MU,1603303183,78,-20.41,57.7,24,6.2
374,alugan,100,PH,1603303184,88,12.22,125.48,26.14,3.36
375,muros,75,ES,1603303184,83,42.78,-9.06,15,2.68
376,ibra,7,OM,1603303184,34,22.69,58.53,19.97,1.14
377,obo,91,CF,1603303185,85,5.4,26.49,21.65,0.32
378,pisco,0,PE,1603302924,64,-13.7,-76.22,21,4.1
379,olavarria,0,AR,1603303186,57,-36.89,-60.32,15.56,4.02
380,cayenne,10,GF,1603302958,62,4.93,-52.33,32,5.1
381,pevek,100,RU,1603303186,97,69.7,170.31,-1.34,1.71
382,san quintin,82,MX,1603303187,68,30.48,-115.95,21.6,3.95
383,mount isa,62,AU,1603303187,40,-20.73,139.5,23,1.5
384,ancud,20,CL,1603303187,50,-41.87,-73.82,13,3.6
385,buchanan,75,LR,1603303188,79,5.88,-10.05,29,4.1
386,arequipa,40,PE,1603303184,10,-16.4,-71.53,20,3.6
387,alice springs,34,AU,1603302974,32,-23.7,133.88,28,5.7
388,coruripe,5,BR,1603303189,67,-10.13,-36.18,27.98,5.54
389,saint pete beach,90,US,1603303189,78,27.73,-82.74,27.78,6.7
390,innisfail,14,AU,1603303167,88,-17.53,146.03,20.88,1.06
391,richards bay,18,ZA,1603303190,76,-28.78,32.04,18.91,3.15
392,roebourne,41,AU,1603303190,59,-20.78,117.13,20.35,5.86
393,adrar,64,MR,1603303190,14,20.5,-10.07,33.45,2.68
394,livadi,0,GR,1603303191,62,40.12,22.15,16.67,2.1
395,sweetwater,90,US,1603303191,94,25.76,-80.37,24.44,1.5
396,makungu,6,TZ,1603303192,66,-8.73,35.28,20.2,2.46
397,boa vista,40,BR,1603303192,37,2.82,-60.67,36,5.1
398,vrangel,85,RU,1603303192,89,42.73,133.08,14.23,4.61
399,guerrero negro,79,MX,1603303193,63,27.98,-114.06,23.74,3.69
400,rio bueno,33,CL,1603303193,58,-40.32,-72.97,14,2.6
401,keningau,20,MY,1603303166,88,5.34,116.16,26,1.5
402,sambava,93,MG,1603303194,78,-14.27,50.17,24.17,6.86
403,kaeo,100,NZ,1603303194,86,-35.1,173.78,14.67,2.11
404,salem,100,IN,1603302867,87,11.65,78.17,23.94,1.08
405,timmins,90,CA,1603303195,96,48.47,-81.33,1,1.5
406,harer,69,ET,1603303195,41,9.31,42.13,16.18,2.79
407,flinders,96,AU,1603303196,86,-34.58,150.86,16.67,0.45
408,yumen,0,CN,1603303196,57,40.28,97.2,4.2,3.29
409,nuevo vigia,40,PA,1603303196,78,9.24,-79.61,30,4.1
410,hasaki,75,JP,1603303197,93,35.73,140.83,14,2.1
411,hanzhong,18,CN,1603303197,65,33.07,107.03,12.8,0.85
413,katangli,100,RU,1603303198,90,51.71,143.23,6.66,3.18
414,mersing,70,MY,1603303177,94,2.43,103.84,25,1
415,amapa,83,BR,1603302975,28,1,-52,36.78,2.89
417,calama,1,CL,1603302847,8,-22.47,-68.93,24,8.7
418,moyale,42,KE,1603303199,51,3.52,39.06,24.29,1.7
419,porto santo,20,PT,1603303200,56,33.07,-16.34,20,8.2
420,conde,75,BR,1603303200,83,-7.26,-34.91,26,8.7
421,cuddapah,100,IN,1603303201,90,14.47,78.82,23.35,1.44
422,volchansk,74,RU,1603303202,97,59.94,60.08,-2.95,2.07
423,ucluelet,20,CA,1603303061,70,48.93,-125.55,9.44,2.6
424,uyuni,84,BO,1603303203,34,-20.46,-66.83,15.74,1.99
425,liverpool,75,GB,1603303178,76,53.41,-2.98,14,3.1
427,zyryanka,30,RU,1603303205,92,65.75,150.85,-11.07,4.65
428,lazaro cardenas,48,MX,1603302980,68,17.96,-102.2,30.2,2.22
429,mouila,99,GA,1603303207,94,-1.87,11.06,23.7,0.84
430,nouadhibou,0,MR,1603303207,69,20.93,-17.03,26,6.7
431,limbang,75,MY,1603303208,94,4.75,115,25.56,0.5
432,gouyave,20,GD,1603303209,70,12.16,-61.73,31,8.7
433,namatanai,92,PG,1603303209,78,-3.67,152.43,26.39,2.64
434,hami,0,CN,1603303210,40,42.8,93.45,10.29,2.71
435,monte siao,50,BR,1603303207,61,-22.43,-46.57,25.67,3.35
436,esperance,90,AU,1603302995,100,-33.87,121.9,14,5.1
437,waingapu,3,ID,1603303211,77,-9.66,120.26,26.39,0.85
438,fairbanks,90,US,1603303212,85,64.84,-147.72,-4,0.5
439,tanza,75,PH,1603303213,88,14.68,120.94,27,2.1
440,vanimo,100,PG,1603303213,82,-2.67,141.3,24.91,2.21
441,nichinan,32,JP,1603303214,77,31.6,131.37,20,3.58
442,mount gambier,35,AU,1603303215,100,-37.83,140.77,6,2.6
443,san jeronimo,67,PE,1603303215,43,-11.95,-75.28,16.78,3.33
445,srednekolymsk,0,RU,1603303216,92,67.45,153.68,-10.41,2.61
446,sao luiz gonzaga,26,BR,1603303217,44,-28.41,-54.96,31.86,4.92
447,alakurtti,29,RU,1603303217,94,66.97,30.35,-4.44,0.45
448,jiwani,0,PK,1603303218,53,25.05,61.74,25.52,4.17
449,olafsvik,100,IS,1603302990,91,64.89,-23.71,4.85,11.99
450,agdam,82,AZ,1603303219,81,39.99,46.93,13.27,1.94
451,novoseleznevo,97,RU,1603303220,82,55.68,69.21,2.39,4.12
452,urgut,37,UZ,1603303220,35,39.4,67.24,14,2.1
453,merauke,66,ID,1603303027,87,-8.47,140.33,24.85,5.21
454,ahuimanu,75,US,1603303221,100,21.44,-157.84,25,1.26
455,bhatkal,100,IN,1603303221,84,13.97,74.57,25.36,1.71
456,clyde river,20,CA,1603303222,68,70.47,-68.59,-3,1.5
458,camocim,13,BR,1603303223,49,-2.9,-40.84,32.24,8.55
460,kimberley,30,ZA,1603303223,26,-28.73,24.76,29,3.1
461,pathalgaon,45,IN,1603303224,73,22.57,83.47,21.08,2.09
462,kpalime,6,TG,1603303224,80,6.9,0.63,25.79,0.3
464,padang,100,ID,1603303225,82,-0.95,100.35,24.87,1.09
465,zalantun,53,CN,1603303226,83,48,122.72,-1.1,7.24
466,newcastle,70,AU,1603303028,87,-32.93,151.78,15.56,1.5
467,sao joao da barra,40,BR,1603303226,62,-21.64,-41.05,29,6.2
468,aden,2,YE,1603303034,62,12.78,45.04,29.44,2.5
469,kurunegala,20,LK,1603303227,83,7.49,80.36,28,3.6
470,nivala,100,FI,1603303227,95,63.92,24.97,-0.56,4.02
471,seydi,21,TM,1603303228,49,39.48,62.91,14.28,7.38
472,krasnoarmeysk,100,RU,1603303228,47,51.02,45.7,3.33,0.89
473,moscow,90,RU,1603303190,100,55.75,37.62,2.22,3
474,tigre,90,AR,1603303229,67,-34.43,-58.58,17,9.3
475,brindisi,38,IT,1603303230,77,40.58,17.67,17,2.1
476,kahta,0,TR,1603303230,33,37.79,38.62,22,2.6
477,ulaanbaatar,1,MN,1603303230,85,47.91,106.88,-11,1.11
479,batagay,100,RU,1603303231,94,67.63,134.63,-13.83,0.58
480,toccoa,1,US,1603303232,54,34.58,-83.33,27,2.1
481,superior,90,US,1603303232,80,46.72,-92.1,3,5.7
482,beyneu,12,KZ,1603303233,62,45.32,55.2,6.16,5.57
484,nishihara,90,JP,1603303233,100,26.18,127.76,26,2.6
485,san ignacio,75,BZ,1603303234,66,17.16,-89.07,30,4.1
487,namibe,90,AO,1603303234,81,-15.2,12.15,20.93,3.3
488,jalu,0,LY,1603303235,38,29.03,21.55,21.04,3.19
489,salihorsk,100,BY,1603303235,81,52.79,27.54,8.3,2.31
490,hambantota,1,LK,1603303236,81,6.12,81.12,26.62,7.27
491,canico,40,PT,1603303236,63,32.63,-16.85,19,7.2
492,diu,98,IN,1603303236,78,20.71,70.98,27.8,3.62
493,los llanos de aridane,40,ES,1603303237,69,28.66,-17.92,23,2.6
494,vidim,100,RU,1603303237,96,56.41,103.11,1.65,1.72
495,rolla,90,US,1603303238,100,37.95,-91.77,14.44,4.1
496,kangaatsiaq,99,GL,1603303238,94,68.31,-53.46,-0.03,4.24
498,takoradi,56,GH,1603303239,88,4.88,-1.76,26.03,4.33
499,ileza,99,RU,1603303239,98,61.05,43.9,-0.33,4.29
500,alappuzha,100,IN,1603303240,83,9.49,76.33,26.42,2.78
502,kieta,64,PG,1603303219,80,-6.22,155.63,25.8,2.15
503,camabatela,81,AO,1603303241,92,-8.19,15.38,18.96,2.06
504,zwedru,99,LR,1603303241,90,6.07,-8.13,24.75,0.98
506,melsungen,40,DE,1603303242,55,51.13,9.55,16.11,4.1
507,campo verde,40,BR,1603303242,45,-20.42,-54.07,31,2.1
